,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month,genres,Action,Adventure,Animation,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
68,tt6663582,"[""'Action'"", "" 'Comedy'""]",117,2018-08-02,56,1,2,16,16,39,5,18,6.0,40000000,8,"['Action', 'Comedy']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,tt4575576,"[""'Adventure'"", "" 'Comedy'"", "" 'Family'"", "" 'Fantasy'""]",104,2018-08-02,80,1,7,5,4,24,2,10,7.4,75000000,8,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
71,tt5117670,"[""'Animation'"", "" 'Adventure'"", "" 'Family'""]",93,2018-02-07,61,1,3,15,4,22,9,26,6.6,50000000,2,"['Animation', 'Adventure', 'Family']",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,tt6921996,"[""'Adventure'"", "" 'Family'"", "" 'Action'"", "" 'Comedy'""]",89,2018-09-13,85,1,1,7,4,52,4,17,6.2,25000000,9,"['Adventure', 'Family', 'Action', 'Comedy']",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
73,tt6697582,"[""'Adventure'"", "" 'Comedy'"", "" 'Science Fiction'""]",125,2018-01-05,78,1,1,4,15,7,2,8,7.5,13547689,1,"['Adventure', 'Comedy', 'Science Fiction']",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
75,tt6452574,"[""'Drama'"", "" 'Comedy'""]",161,2018-06-29,36,1,2,9,5,3,2,2,8.0,2723349,6,"['Drama', 'Comedy']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
76,tt4701182,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",114,2018-12-15,105,1,1,12,6,56,8,18,7.2,135000000,12,"['Action', 'Adventure', 'Science Fiction']",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,tt5834262,"[""'Thriller'"", "" 'Science Fiction'"", "" 'Action'""]",94,2018-06-07,49,1,1,13,2,30,3,1,6.1,15000000,6,"['Thriller', 'Science Fiction', 'Action']",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
78,tt6850820,"[""'Action'"", "" 'Thriller'"", "" 'Drama'""]",102,2018-09-06,69,1,1,15,4,37,3,18,6.5,25000000,9,"['Action', 'Thriller', 'Drama']",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
79,tt7431594,"[""'Thriller'"", "" 'Action'""]",160,2018-06-15,50,1,2,13,1,5,4,3,2.1,1690861,6,"['Thriller', 'Action']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,tt8108198,"[""'Thriller'"", "" 'Comedy'"", "" 'Crime'""]",139,2018-10-05,17,1,6,9,8,22,2,2,8.7,278677,10,"['Thriller', 'Comedy', 'Crime']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
83,tt6966692,"[""'Drama'"", "" 'Comedy'""]",130,2018-11-16,100,1,3,11,6,14,5,29,8.3,23000000,11,"['Drama', 'Comedy']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
84,tt3892172,"[""'Drama'""]",110,2018-06-29,38,1,3,13,2,4,4,21,7.2,219140,6,['Drama'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,tt4560436,"[""'Action'"", "" 'Thriller'"", "" 'Adventure'"", "" 'Crime'""]",95,2018-08-16,67,1,2,24,9,50,5,22,6.1,50000000,8,"['Action', 'Thriller', 'Adventure', 'Crime']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
86,tt2531344,"[""'Comedy'""]",102,2018-03-14,77,1,2,18,3,31,4,16,6.2,21000000,3,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,tt5726086,"[""'Mystery'"", "" 'Horror'"", "" 'Thriller'""]",118,2018-01-03,35,1,1,14,4,14,4,25,5.7,10000000,1,"['Mystery', 'Horror', 'Thriller']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
89,tt1137450,"[""'Action'"", "" 'Crime'"", "" 'Drama'"", "" 'Thriller'""]",107,2018-03-02,75,1,3,5,7,44,2,27,6.4,30000000,3,"['Action', 'Crime', 'Drama', 'Thriller']",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
90,tt6998518,"[""'Action'"", "" 'Thriller'"", "" 'Horror'""]",122,2018-09-13,20,1,3,16,3,19,6,1,6.6,6000000,9,"['Action', 'Thriller', 'Horror']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
92,tt5783956,"[""'Comedy'"", "" 'Romance'"", "" 'Fantasy'""]",97,2018-02-09,30,1,1,16,1,7,4,1,6.4,10000000,2,"['Comedy', 'Romance', 'Fantasy']",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
93,tt4218572,"[""'Crime'"", "" 'Drama'"", "" 'Thriller'""]",128,2018-11-06,130,1,3,10,3,29,5,12,7.3,42000000,11,"['Crime', 'Drama', 'Thriller']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
94,tt6791096,"[""'Comedy'""]",111,2018-04-19,106,2,2,17,2,3,3,20,5.4,32000000,4,['Comedy'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
95,tt5028340,"[""'Fantasy'"", "" 'Family'"", "" 'Comedy'""]",131,2018-12-19,127,1,4,8,7,52,3,18,7.2,130000000,12,"['Fantasy', 'Family', 'Comedy']",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
96,tt2119543,"[""'Horror'"", "" 'Fantasy'"", "" 'Thriller'"", "" 'Family'"", "" 'Mystery'""]",106,2018-09-15,35,1,2,8,8,19,4,1,6.1,42000000,9,"['Horror', 'Fantasy', 'Thriller', 'Family', 'Mystery']",0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0
97,tt4244998,"[""'Adventure'"", "" 'Drama'""]",97,2018-08-17,17,1,2,11,2,27,1,34,6.7,51000000,8,"['Adventure', 'Drama']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,tt4477536,"[""'Drama'"", "" 'Romance'""]",105,2018-01-17,68,1,2,4,8,19,2,22,4.5,55000000,1,"['Drama', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
