,imdb_id,genre,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month
151,tt5140878,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",109,2017-08-03,28,1,1,8,1,10,4,21,6,15000000,8
152,tt4877122,"[""'Animation'"", "" 'Family'"", "" 'Comedy'""]",86,2017-07-23,62,1,4,4,128,25,3,43,3,50000000,7
153,tt3606752,"[""'Adventure'"", "" 'Animation'"", "" 'Comedy'"", "" 'Family'""]",109,2017-06-15,44,1,8,3,100,70,2,37,6,175000000,6
154,tt1758810,"[""'Drama'"", "" 'Crime'"", "" 'Thriller'"", "" 'Horror'""]",119,2017-10-12,54,1,4,12,12,62,4,20,5,35000000,10
155,tt3922818,"[""'Romance'"", "" 'Adventure'"", "" 'Science Fiction'"", "" 'Drama'""]",121,2017-01-26,92,1,3,23,6,29,3,22,6,30000000,1
156,tt5308322,"[""'Horror'"", "" 'Mystery'"", "" 'Thriller'""]",96,2017-10-12,35,1,1,9,3,15,4,20,6,4800000,10
157,tt5592248,"[""'Drama'"", "" 'Western'""]",93,2017-06-23,12,1,4,6,4,2,2,23,6,10500000,6
158,tt3717490,"[""'Action'"", "" 'Adventure'"", "" 'Science Fiction'""]",124,2017-03-23,60,1,9,14,5,59,5,38,6,100000000,3
159,tt1961175,"[""'Action'"", "" 'Thriller'""]",112,2017-09-14,96,1,5,11,13,81,5,33,6,33000000,9
160,tt5657846,"[""'Comedy'""]",100,2017-11-09,158,1,3,9,3,25,2,45,6,69000000,11
161,tt5638642,"[""'Horror'""]",94,2017-10-11,16,1,2,9,4,4,2,7,6,1569665,10
162,tt5649144,"[""'Drama'""]",111,2017-10-06,46,1,2,11,4,14,4,1,7,2000000,10
164,tt5478478,"[""'Drama'"", "" 'Western'"", "" 'History'""]",134,2017-12-22,54,1,2,17,3,20,2,15,7,39000000,12
165,tt1293847,"[""'Action'"", "" 'Adventure'"", "" 'Crime'""]",107,2017-01-13,107,1,2,11,10,193,7,23,5,85000000,1
