,0,1,2,3,4,5,6,7,8,9
tt3863552,['124'],124,1,5,9,4,2,5,1,1
tt2446980,['158'],158,1,2,14,6,7,5,28,28
tt1083452,['54'],54,1,2,15,13,45,4,21,21
tt3045616,['82'],82,1,2,9,6,88,4,27,27
tt3168230,['63'],63,1,3,17,7,1,7,1,1
tt1666801,['70'],70,1,2,7,2,2,3,1,1
tt1524930,['101'],101,2,3,9,4,43,3,21,21
tt2679042,['55'],55,1,4,14,6,64,11,29,29
tt3312830,['95'],95,1,1,16,5,3,21,2,2
tt1674771,['168'],168,1,2,11,9,42,6,23,23
tt1051904,['87'],87,1,4,8,2,43,10,30,30
tt1781922,['46'],46,1,2,10,4,85,3,1,1
tt3530002,['90'],90,1,4,13,7,45,4,14,14
tt2582496,['58'],58,1,1,7,3,25,1,14,14
tt1979388,['27'],27,1,7,5,1,72,2,28,28
tt2561572,['154'],154,1,4,8,4,42,2,21,21
tt1959490,['127'],127,1,2,9,10,104,5,26,26
tt2557490,['154'],154,1,3,11,4,47,4,29,29
tt2084970,['79'],79,1,2,5,5,6,4,2,2
tt2562232,['120'],120,1,5,12,10,38,6,29,29
tt1291150,['134'],134,1,5,14,7,145,6,33,33
tt0831387,['174'],174,1,7,13,16,183,5,44,44
tt2872718,['54'],54,1,1,10,6,45,3,1,1
tt2321549,['36'],36,1,1,8,5,4,5,2,2
tt2582846,['92'],92,1,3,5,5,1,3,29,29
tt2278388,['102'],102,1,3,11,4,7,6,30,30
tt0816692,['44'],44,1,2,20,22,26,7,40,40
tt2980516,['110'],110,1,2,9,6,5,3,24,24
tt1490017,['35'],35,2,9,18,43,18,13,51,51
tt1872194,['154'],154,1,3,9,5,11,4,38,38
tt2024469,['83'],83,1,3,12,3,34,7,51,51
tt0829150,['106'],106,1,3,5,8,74,5,35,35
tt2004420,['95'],95,1,2,9,4,14,2,32,32
tt2310332,['136'],136,1,5,9,6,131,4,55,55
tt0470752,['15'],15,1,1,9,3,3,4,36,36
tt3235888,['28'],28,1,1,14,3,25,3,1,1
tt1587310,['83'],83,1,9,11,12,82,2,32,32
tt2788710,['83'],83,2,3,10,2,38,3,25,25
tt2397535,['67'],67,2,3,8,5,21,5,1,1
tt2883512,['83'],83,1,1,25,7,13,2,2,2
tt1253863,['75'],75,1,3,13,9,110,6,44,44
tt2267998,['111'],111,1,1,7,4,2,5,44,44
tt2103281,['96'],96,1,4,8,10,120,4,44,44
tt1951265,['124'],124,1,3,8,12,152,2,41,41
tt1646971,['19'],19,1,2,10,1,81,2,37,37
tt1840309,['181'],181,1,3,7,10,92,2,32,32
tt2872732,['65'],65,1,1,2,25,83,8,1,1
tt2911666,['77'],77,2,1,19,5,72,8,2,2
tt2582802,['54'],54,1,1,14,4,5,4,2,2
tt2109248,['137'],137,1,1,19,16,144,10,51,51
tt1877832,['108'],108,1,5,11,13,133,7,43,43
tt2179136,['148'],148,1,4,14,12,34,6,42,42
