,0,1,2,3
tt4622512,"['Comedy', 'Drama', 'History']",121.0,2017-09-05,7.4
tt3829920,['Drama'],133.0,2017-09-22,7.4
tt3967856,"['Adventure', 'Drama', 'Science Fiction', 'Action']",122.0,2017-06-28,7.4
tt5294550,"['Thriller', 'Drama', 'Crime', 'Mystery']",132.0,2017-12-21,7.4
tt5715874,"['Drama', 'Thriller', 'Mystery']",122.0,2017-10-20,7.4
tt3748172,"['Drama', 'Horror', 'Thriller']",104.0,2017-09-19,7.4
tt4287320,"['Drama', 'Thriller', 'Science Fiction']",110.0,2017-04-27,7.4
tt4765284,"['Comedy', 'Music']",93.0,2017-12-20,7.4
tt5988370,[],108.0,2017-03-02,7.4
tt4995790,['Drama'],151.0,2017-08-25,7.4
tt4465564,"['Drama', 'Romance']",118.0,2017-02-08,7.4
tt4468740,"['Adventure', 'Comedy', 'Family']",104.0,2017-11-09,7.4
tt1615160,"['Action', 'Thriller', 'Drama']",113.0,2017-09-28,7.4
tt1241317,"['Fantasy', 'Horror', 'Mystery', 'Thriller']",101.0,2017-08-25,7.4
tt2763304,"['Crime', 'Drama']",117.0,2017-01-27,7.4
tt4695012,"['Horror', 'Thriller', 'Mystery', 'Drama']",91.0,2017-06-09,7.4
tt1753383,"['Comedy', 'Drama', 'Family', 'Fantasy']",100.0,2017-01-19,7.4
tt6265828,"['Drama', 'Fantasy', 'Romance']",93.0,2017-07-07,7.4
tt4686844,"['Comedy', 'History']",107.0,2017-10-20,7.4
tt3348730,"['Crime', 'Horror', 'Mystery', 'Thriller']",92.0,2017-10-26,7.4
tt5742374,"['Drama', 'Thriller', 'Crime']",89.0,2017-11-08,7.4
tt2582782,"['Crime', 'Drama', 'Thriller', 'Western']",102.0,2016-08-12,7.4
tt4160708,"['Crime', 'Horror', 'Thriller']",89.0,2016-08-25,7.4
tt2660888,"['Action', 'Adventure', 'Science Fiction']",122.0,2016-07-07,7.4
tt2094766,"['Action', 'Adventure', 'Science Fiction']",115.0,2016-12-21,7.4
tt4196776,"['Action', 'Thriller']",123.0,2016-07-27,7.4
tt1935859,"['Drama', 'Fantasy', 'Adventure', 'Family']",127.0,2016-09-28,7.4
tt3062096,"['Mystery', 'Thriller', 'Drama']",121.0,2016-10-13,7.4
tt1355644,"['Drama', 'Romance', 'Science Fiction']",116.0,2016-12-21,7.4
tt1289401,"['Action', 'Fantasy', 'Comedy']",116.0,2016-07-14,7.4
tt3040964,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Animation']",106.0,2016-04-07,7.4
tt2119532,"['Drama', 'History', 'War']",140.0,2016-10-07,7.4
tt4846340,"['Drama', 'History']",127.0,2016-12-10,7.4
tt3110958,"['Action', 'Comedy', 'Thriller']",129.0,2016-06-02,7.4
tt1431045,"['Action', 'Adventure', 'Comedy']",108.0,2016-02-09,7.4
tt2543164,"['Thriller', 'Drama', 'Science Fiction', 'Mystery']",116.0,2016-11-10,7.4
tt3748528,"['Action', 'Adventure', 'Science Fiction']",133.0,2016-12-14,7.4
tt1179933,"['Thriller', 'Science Fiction', 'Drama']",104.0,2016-03-10,7.4
tt3521164,"['Adventure', 'Comedy', 'Family', 'Animation']",107.0,2016-11-23,7.4
tt3553976,"['Adventure', 'Comedy', 'Drama']",119.0,2016-07-02,7.4
tt1386697,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",124.0,2016-08-03,7.4
tt3300542,"['Action', 'Crime', 'Thriller']",99.0,2016-03-02,7.4
tt2948356,"['Animation', 'Adventure', 'Family', 'Comedy']",109.0,2016-02-11,7.4
tt4776998,"['History', 'Romance', 'Drama']",130.0,2016-12-02,7.4
tt2005151,"['Comedy', 'Crime', 'Drama']",114.0,2016-08-17,7.4
tt0918940,"['Action', 'Adventure']",109.0,2016-06-29,7.4
tt1700841,"['Adventure', 'Animation', 'Comedy', 'Fantasy']",89.0,2016-07-11,7.4
tt2975590,"['Action', 'Adventure', 'Fantasy']",151.0,2016-03-23,7.4
tt3498820,"['Adventure', 'Action', 'Science Fiction']",147.0,2016-04-27,7.4
tt4550098,"['Drama', 'Thriller']",116.0,2016-11-04,7.4
tt1628841,"['Action', 'Adventure', 'Science Fiction']",120.0,2016-06-22,7.4
tt3263904,"['Drama', 'History']",96.0,2016-09-07,7.4
tt4972582,"['Horror', 'Thriller']",117.0,2017-01-19,7.4
tt3799694,"['Action', 'Comedy', 'Crime', 'Mystery']",116.0,2016-05-15,7.4
tt2140479,"['Crime', 'Thriller', 'Drama']",128.0,2016-10-14,7.4
tt3065204,"['Horror', 'Mystery', 'Thriller']",134.0,2016-05-13,7.4
tt2674426,"['Drama', 'Romance']",110.0,2016-06-02,7.4
tt3741834,['Drama'],118.0,2016-11-24,7.4
tt2404435,"['Adventure', 'Action', 'Western']",132.0,2016-09-14,7.4
