,0
tt2582802,"['$3,300,000']"
tt2557490,"['$40,000,000']"
tt2310332,"['$250,000,000']"
tt2084970,"['$14,000,000']"
tt1877832,"['$200,000,000']"
tt0470752,"['$15,000,000']"
tt1065073,"['$4,000,000']"
tt2103281,"['$170,000,000']"
tt1959490,"['$125,000,000']"
tt2109248,"['$210,000,000']"
tt2446042,"['$48,000,000']"
tt3235888,"['$1,000,000']"
tt1872181,"['$200,000,000']"
tt2294449,"['$50,000,000']"
tt2004420,"['$18,000,000']"
tt2245084,"['$165,000,000']"
tt1843866,"['$170,000,000']"
tt2872732,"['$40,000,000']"
tt2872718,"['$8,500,000']"
tt2980516,"['$15,000,000']"
tt2267998,"['$61,000,000']"
tt0829150,"['$70,000,000']"
tt1872194,"['$50,000,000']"
tt0816692,"['$165,000,000']"
tt0455944,"['$55,000,000']"
tt1587310,"['$180,000,000']"
tt1631867,"['$178,000,000']"
tt2802144,"['$81,000,000']"
tt1646971,"['$145,000,000']"
tt2278388,"['$25,000,000']"
tt2582846,"['$12,000,000']"
tt2209764,"['$100,000,000']"
tt2321549,"['$2,000,000']"
tt1951265,"['$125,000,000']"
tt0831387,"['$160,000,000']"
tt2883512,"['$11,000,000']"
tt2015381,"['$170,000,000']"
tt2179136,"['$58,800,000']"
tt2788710,"['$44,000,000']"
tt1234721,"['$100,000,000']"
tt2024469,"['$50,000,000']"
tt2170439,"['$42,000,000']"
tt3416742,"['$1,600,000']"
tt2333784,"['$90,000,000']"
tt1809398,"['$65,000,000']"
tt1924435,"['$17,000,000']"
tt3322940,"['$6,500,000']"
tt2980592,"['$5,000,000']"
tt1126590,"['$10,000,000']"
tt1267297,"['$100,000,000']"
tt2177771,"['$70,000,000']"
tt1020072,"['$20,000,000']"
tt2357291,"['$103,000,000']"
tt2975578,"['$9,000,000']"
tt0458481,"['$65,000,000']"
tt1109624,"['$55,000,000']"
tt1600196,"['$12,600,000']"
tt1121096,"['$95,000,000']"
tt2180411,"['$50,000,000']"
tt2265171,"['$4,500,000']"
tt1921064,"['$100,000,000']"
tt2170593,"['$13,000,000']"
tt1791528,"['$20,000,000']"
tt0365907,"['$28,000,000']"
tt2692250,"['$127,000,000']"
tt2870612,"['$5,000,000']"
tt1086772,"['$40,000,000']"
tt2369135,"['$66,000,000']"
tt1205537,"['$60,000,000']"
tt1605717,"['$16,056']"
tt1408253,"['$25,000,000']"
tt1956620,"['$40,000,000']"
tt1418377,"['$65,000,000']"
tt1800246,"['$8,000,000']"
tt1355630,"['$11,000,000']"
tt3011894,"['$3,300,000']"
tt2338151,"['$3,565,258']"
tt2980648,"['$22,000,000']"
tt1911658,"['$132,000,000']"
tt1638002,"['$14,893']"
tt2096672,"['$40,000,000']"
tt1528100,"['$140,000,000']"
tt1100089,"['$24,000,000']"
tt2305051,"['$15,000,000']"
tt0435651,"['$25,000,000']"
tt2884206,"['$27,652']"
tt2203939,"['$40,000,000']"
tt3316960,"['$5,000,000']"
tt1972571,"['$15,000,000']"
tt2172934,"['$28,000,000']"
tt3007512,"['$22,500,000']"
